[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.25ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Python%20Types%20and%20sequences.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.08ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.19ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Week%201%20exrecises%20from%20lectures.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.33ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Week%201%20exrecises%20from%20lectures.ipynb
[NotebookApp | INFO] Writing notebook-signing key to /home/jovyan/.local/share/jupyter/notebook_secret
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Kernel started: e1cebef9-5d3c-48cb-a6d1-371dba85e499
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel e1cebef9-5d3c-48cb-a6d1-371dba85e499) to 5.3 (client).
[NotebookApp | INFO] Starting buffering for e1cebef9-5d3c-48cb-a6d1-371dba85e499:cd0c014368734a298fcc3845c33b70ec
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.21ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.34ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | INFO] Creating new notebook in /Week 1 lectures
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.11ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Untitled.ipynb?kernel_name=python3
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.81ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Untitled.ipynb?kernel_name=python3
[NotebookApp | INFO] Kernel started: a34e6588-26f4-43f6-a893-dd9713429eac
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel a34e6588-26f4-43f6-a893-dd9713429eac) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 1 lectures/Untitled.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.15ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.38ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Numpy library.ipynb
[NotebookApp | INFO] Starting buffering for a34e6588-26f4-43f6-a893-dd9713429eac:a54207fa54da4d418d4b4bd34b3a3aa4
[NotebookApp | CRITICAL] received signal 15, stopping
[NotebookApp | INFO] Shutting down 2 kernels
[NotebookApp | INFO] Kernel shutdown: e1cebef9-5d3c-48cb-a6d1-371dba85e499
[NotebookApp | INFO] Kernel shutdown: a34e6588-26f4-43f6-a893-dd9713429eac
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/jovyan/work
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://042058c0faa1:8888/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | INFO] 302 GET / (10.0.0.103) 0.55ms
[NotebookApp | ERROR] Could not open static file ''
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 5.28ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | INFO] Creating new notebook in /Week 1 lectures
[NotebookApp | INFO] Writing notebook-signing key to /home/jovyan/.local/share/jupyter/notebook_secret
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 0.94ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Untitled.ipynb?kernel_name=python3
[NotebookApp | INFO] Kernel started: b2999d80-2f99-4dd7-9793-7cbaa78fff54
[NotebookApp | INFO] Saving file at /Week 1 lectures/Untitled.ipynb
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel b2999d80-2f99-4dd7-9793-7cbaa78fff54) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexs).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.53ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.30ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.24ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Week%201%20exrecises%20from%20lectures.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.32ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Week%201%20exrecises%20from%20lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Kernel started: b02fa27c-684f-4766-bcd1-a478abfdd06b
[NotebookApp | INFO] Saving file at /Week 1 lectures/Week 1 exrecises from lectures.ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Week 1 exrecises from lectures.ipynb is not trusted
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel b02fa27c-684f-4766-bcd1-a478abfdd06b) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | INFO] Starting buffering for b2999d80-2f99-4dd7-9793-7cbaa78fff54:37a6f0aab3fd446b8fed23f020c2f877
[NotebookApp | INFO] Starting buffering for b02fa27c-684f-4766-bcd1-a478abfdd06b:79bbac8429ce4ed181070d571a16515f
[NotebookApp | CRITICAL] received signal 15, stopping
[NotebookApp | INFO] Shutting down 2 kernels
[NotebookApp | INFO] Kernel shutdown: b2999d80-2f99-4dd7-9793-7cbaa78fff54
[NotebookApp | INFO] Kernel shutdown: b02fa27c-684f-4766-bcd1-a478abfdd06b
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/jovyan/work
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://1fd6c100f109:8888/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | INFO] 302 GET / (10.0.0.40) 0.55ms
[NotebookApp | ERROR] Could not open static file ''
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 5.38ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Manipulating%20Text%20with%20Regular%20Expressions%20(Regexes).ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.13ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201%20lectures/Manipulating%20Text%20with%20Regular%20Expressions%20(Regexes).ipynb
[NotebookApp | INFO] Writing notebook-signing key to /home/jovyan/.local/share/jupyter/notebook_secret
[NotebookApp | WARNING] Notebook Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb is not trusted
[NotebookApp | INFO] Kernel started: 176c4020-ae04-4ad8-ac91-36e7b9db10a2
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 176c4020-ae04-4ad8-ac91-36e7b9db10a2) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | WARNING] Notebook Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb is not trusted
[NotebookApp | INFO] Starting buffering for 176c4020-ae04-4ad8-ac91-36e7b9db10a2:9d200d7cdd454ce79f5ec6788ca97604
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.08ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | INFO] Creating new directory in 
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.07ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | INFO] Creating new directory in 
[NotebookApp | INFO] Creating new notebook in /Week 1/Week 1 Evaluation
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.29ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201/Week%201%20Evaluation/Untitled.ipynb?kernel_name=python3
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.28ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201/Week%201%20Evaluation/Untitled.ipynb?kernel_name=python3
[NotebookApp | INFO] Kernel started: 386a37ef-cd21-491f-b0ac-9f520f0247f9
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 386a37ef-cd21-491f-b0ac-9f520f0247f9) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 1/Week 1 Evaluation/Untitled.ipynb
[NotebookApp | INFO] Saving file at /Week 1/Week 1 Evaluation/Quiz.ipynb
[NotebookApp | INFO] Saving file at /Week 1/Week 1 Evaluation/Quiz.ipynb
[NotebookApp | INFO] Saving file at /Week 1/Week 1 Evaluation/Quiz.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.05ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.23ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.83ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201/Week%201%20lectures/Numpy%20library.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.17ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201/Week%201%20lectures/Numpy%20library.ipynb
[NotebookApp | WARNING] Notebook Week 1/Week 1 lectures/Numpy library.ipynb is not trusted
[NotebookApp | INFO] Kernel started: ff4f5abc-87ef-42a1-948b-7965499b5c3b
[NotebookApp | INFO] Saving file at /Week 1/Week 1 lectures/Numpy library.ipynb
[NotebookApp | WARNING] Notebook Week 1/Week 1 lectures/Numpy library.ipynb is not trusted
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel ff4f5abc-87ef-42a1-948b-7965499b5c3b) to 5.3 (client).
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.08ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.26ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 0.98ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201/Week%201%20lectures/Numpy%20library.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.76ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201/Week%201%20lectures/Numpy%20library.ipynb
[NotebookApp | WARNING] Notebook Week 1/Week 1 lectures/Numpy library.ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1/Week 1 lectures/Numpy library.ipynb
[NotebookApp | WARNING] Notebook Week 1/Week 1 lectures/Numpy library.ipynb is not trusted
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel ff4f5abc-87ef-42a1-948b-7965499b5c3b) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 1/Week 1 Evaluation/Quiz.ipynb
[NotebookApp | INFO] Saving file at /Week 1/Week 1 Evaluation/Quiz.ipynb
[NotebookApp | INFO] Saving file at /Week 1/Week 1 Evaluation/Quiz.ipynb
[NotebookApp | INFO] Saving file at /Week 1/Week 1 Evaluation/Quiz.ipynb
[NotebookApp | INFO] Saving file at /Week 1/Week 1 Evaluation/Quiz.ipynb
[NotebookApp | INFO] Saving file at /Week 1/Week 1 Evaluation/Quiz.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.17ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.31ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.27ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201/Week%201%20lectures/Manipulating%20Text%20with%20Regular%20Expressions%20(Regexes).ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.90ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201/Week%201%20lectures/Manipulating%20Text%20with%20Regular%20Expressions%20(Regexes).ipynb
[NotebookApp | WARNING] Notebook Week 1/Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb is not trusted
[NotebookApp | INFO] Kernel started: 88622544-91b4-4413-9af5-7e7239040094
[NotebookApp | INFO] Saving file at /Week 1/Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | WARNING] Notebook Week 1/Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb is not trusted
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 88622544-91b4-4413-9af5-7e7239040094) to 5.3 (client).
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.13ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.25ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 0.97ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201/Week%201%20lectures/Manipulating%20Text%20with%20Regular%20Expressions%20(Regexes).ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.10ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201/Week%201%20lectures/Manipulating%20Text%20with%20Regular%20Expressions%20(Regexes).ipynb
[NotebookApp | WARNING] Notebook Week 1/Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1/Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | WARNING] Notebook Week 1/Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb is not trusted
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 88622544-91b4-4413-9af5-7e7239040094) to 5.3 (client).
[NotebookApp | INFO] Starting buffering for 386a37ef-cd21-491f-b0ac-9f520f0247f9:342d961b3a0444318e6523cc00be6f93
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.04ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | INFO] Creating new directory in 
[NotebookApp | INFO] Creating new directory in /Week 2
[NotebookApp | INFO] Creating new notebook in /Week 2/Week 2 Lectures
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.05ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%202/Week%202%20Lectures/Untitled.ipynb?kernel_name=python3
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.63ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%202/Week%202%20Lectures/Untitled.ipynb?kernel_name=python3
[NotebookApp | INFO] Kernel started: 81368825-aad3-4676-ade7-347329e10c5c
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Untitled.ipynb
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 81368825-aad3-4676-ade7-347329e10c5c) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.06ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.26ms referer=https://dpkjiaol.labs.coursera.org/tree
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.10ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201/Week%201%20lectures/Manipulating%20Text%20with%20Regular%20Expressions%20(Regexes).ipynb
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (1.178.250.47) 1.00ms referer=https://dpkjiaol.labs.coursera.org/notebooks/Week%201/Week%201%20lectures/Manipulating%20Text%20with%20Regular%20Expressions%20(Regexes).ipynb
[NotebookApp | WARNING] Notebook Week 1/Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb is not trusted
[NotebookApp | INFO] Saving file at /Week 1/Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb
[NotebookApp | WARNING] Notebook Week 1/Week 1 lectures/Manipulating Text with Regular Expressions (Regexes).ipynb is not trusted
[NotebookApp | INFO] Adapting from protocol version 5.1 (kernel 88622544-91b4-4413-9af5-7e7239040094) to 5.3 (client).
[NotebookApp | INFO] Saving file at /Week 2/Week 2 Lectures/Introduction to Pandas and Series Data.ipynb
